Name,Pattern,1
PGVCL 1,M1-12,58
PGVCL 2,M1-12,75
PGVCL 3,M1-12,66
PGVCL 4,M1-12,83
PGVCL 5,M1-12,72
PGVCL 6,M1-12,54
PGVCL 7,M1-12,95
PGVCL 8,M1-12,89
PGVCL 9,M1-12,113
PGVCL 10,M1-12,94
PGVCL 11,M1-12,70
PGVCL 12,M1-12,110
PGVCL 13,M1-12,109
PGVCL 14,M1-12,107
PGVCL 15,M1-12,101
PGVCL 16,M1-12,120
PGVCL 17,M1-12,102
PGVCL 18,M1-12,96
PGVCL 19,M1-12,84
PGVCL 20,M1-12,76
PGVCL 21,M1-12,88
PGVCL 22,M1-12,94
PGVCL 23,M1-12,77
PGVCL 24,M1-12,97
PGVCL 25,M1-12,70
PGVCL 26,M1-12,84
PGVCL 27,M1-12,70
PGVCL 28,M1-12,68
PGVCL 29,M1-12,61
PGVCL 30,M1-12,64
PGVCL 31,M1-12,56
PGVCL 32,M1-12,45
PGVCL 33,M1-12,108
PGVCL 34,M1-12,113
PGVCL 35,M1-12,95
PGVCL 36,M1-12,112
PGVCL 37,M1-12,119
PGVCL 38,M1-12,141
PGVCL 39,M1-12,137
PGVCL 40,M1-12,154
PGVCL 41,M1-12,101
PGVCL 42,M1-12,87
PGVCL 43,M1-12,97
PGVCL 44,M1-12,105
PGVCL 45,M1-12,54
PGVCL 46,M1-12,55
PGVCL 47,M1-12,53
PGVCL 48,M1-12,43
PGVCL 49,M1-12,75
PGVCL 50,M1-12,59
PGVCL 51,M1-12,84
PGVCL 52,M1-12,66
PGVCL 53,M1-12,48
PGVCL 54,M1-12,38
PGVCL 55,M1-12,48
PGVCL 56,M1-12,51
PGVCL 57,M1-12,45
PGVCL 58,M1-12,49
PGVCL 59,M1-12,37
PGVCL 60,M1-12,35
PGVCL 61,M1-12,98
PGVCL 62,M1-12,98
PGVCL 63,M1-12,108
PGVCL 64,M1-12,117
UGVCL 1,M1-12,75
UGVCL 2,M1-12,60
UGVCL 3,M1-12,70
UGVCL 4,M1-12,50
UGVCL 5,M1-12,65
UGVCL 6,M1-12,85
UGVCL 7,M1-12,60
UGVCL 8,M1-12,75
UGVCL 9,M1-12,65
UGVCL 10,M1-12,65
UGVCL 11,M1-12,55
UGVCL 12,M1-12,55
UGVCL 13,M1-12,100
UGVCL 14,M1-12,75
UGVCL 15,M1-12,75
UGVCL 16,M1-12,95
UGVCL 17,M1-12,95
UGVCL 18,M1-12,70
UGVCL 19,M1-12,95
UGVCL 20,M1-12,85
UGVCL 21,M1-12,100
UGVCL 22,M1-12,85
UGVCL 23,M1-12,95
UGVCL 24,M1-12,95
UGVCL 25,M1-12,90
UGVCL 26,M1-12,70
UGVCL 27,M1-12,135
UGVCL 28,M1-12,130
UGVCL 29,M1-12,125
UGVCL 30,M1-12,80
UGVCL 31,M1-12,80
UGVCL 32,M1-12,80
UGVCL 33,M1-12,115
UGVCL 34,M1-12,100
UGVCL 35,M1-12,105
UGVCL 36,M1-12,85
UGVCL 37,M1-12,85
UGVCL 38,M1-12,75
UGVCL 39,M1-12,70
UGVCL 40,M1-12,135
UGVCL 41,M1-12,125
UGVCL 42,M1-12,130
UGVCL 43,M1-12,60
UGVCL 44,M1-12,110
UGVCL 45,M1-12,110
UGVCL 46,M1-12,90
UGVCL 47,M1-12,20
UGVCL 48,M1-12,175
UGVCL 49,M1-12,175
UGVCL 50,M1-12,190
UGVCL 51,M1-12,75
UGVCL 52,M1-12,105
UGVCL 53,M1-12,135
UGVCL 54,M1-12,100
UGVCL 55,M1-12,55
UGVCL 56,M1-12,70
UGVCL 57,M1-12,60
UGVCL 58,M1-12,60
UGVCL 59,M1-12,59
